953,974,177
132,820,544
488,148,610
783,871,619
732,148,812
420,533,471
404,554,986
494,176,544
644,886,568
296,432,904
912,418,597
724,760,340
586,914,846
983,378,502
143,425,315
269,166,946
183,312,988
548,510,390
487,491,319
890,984,411
848,680,317
869,659,907
470,824,487
177,611,919
258,170,676
179,904,879
448,461,721
393,993,512
166,979,669
786,454,446
492,491,864
425,568,407
861,112,969
295,801,260
290,240,528
467,928,630
639,940,936
145,610,150
200,323,747
383,551,401
425,698,318
725,787,999
857,303,152
923,241,529
632,787,486
264,367,421
398,687,813
542,941,642
418,809,318
389,485,163
329,951,171
758,519,600
626,119,952
232,455,754
263,676,177
529,633,954
271,216,830
931,463,196
578,264,630
314,861,472
142,321,554
240,362,929
296,807,351
828,264,849
333,389,351
822,434,625
906,993,392
444,672,887
803,513,297
406,897,480
171,936,770
885,1000,820
490,368,524
672,273,842
412,500,478
977,516,330
230,356,538
732,109,444
139,563,964
716,929,865
178,892,440
686,594,722
872,538,221
112,563,905
864,483,654
829,191,905
296,110,936
157,219,540
732,255,147
138,223,184
249,978,619
389,769,656
713,167,551
799,455,501
560,750,382
879,782,288
788,439,553
330,507,646
861,837,369
463,373,843
100,344,907
480,279,711
543,371,346
985,808,627
823,732,954
925,490,334
262,886,187
579,902,803
620,469,225
237,339,680
743,931,598
276,614,299
779,377,256
352,414,533
108,467,520
341,181,396
977,560,724
427,945,829
505,137,324
558,799,520
946,785,616
672,542,418
185,525,570
558,508,209
933,775,910
554,479,469
227,158,612
771,411,900
379,359,708
745,808,618
824,273,715
739,742,448
405,692,450
255,812,997
915,775,129
360,636,616
514,522,948
413,504,811
877,234,177
315,770,147
538,495,249
896,232,508
783,906,898
562,627,493
198,978,717
886,354,604
302,449,383
598,155,129
696,972,254
447,605,807
408,842,303
941,337,671
945,335,564
953,164,702
940,470,395
236,793,994
783,697,864
218,936,317
231,784,416
269,493,758
569,489,700
743,413,597
594,170,206
297,255,351
880,599,419
905,177,990
835,974,887
854,578,101
598,232,959
637,354,489
897,585,877
594,677,833
679,494,593
102,234,698
686,638,129
147,814,410
921,909,707
1000,481,738
472,129,612
600,526,571
405,248,488
296,990,481
873,769,562
947,733,677
886,316,369
261,814,353
528,507,638
882,807,870
613,769,316
468,127,733
942,512,460
541,147,485
393,753,355
132,708,231
394,553,884
752,593,175
535,746,455
216,549,518
238,978,792
365,202,565
672,379,298
881,342,464
765,815,831
338,964,601
844,545,838
910,260,178
464,345,120
180,911,929
471,667,776
999,367,768
961,231,902
797,671,198
480,937,357
205,985,530
203,893,845
604,879,368
583,881,308
320,995,356
